〆	sime
妾	warawa
姉	ane
姉	nee
始	hazime
姐	ane
姑	syuuto
姑	syuutome
姓	kabane
姓	sei
委	i
姜	kan
姜	kyou
姜	zyan
姥	uba
姦	kan
姪	mei
姫	hime
姿	sugata
威	i
威	takeru
威	takesi
娘	ko
娘	musume
娶	meto
婆	baba
婚	kon
婦	hu
婬	in
婿	muko
媒	nakadati
媚	kobi
媛	hime
媛	himeri
媼	ouna
嫁	ka
嫁	yome
嫂	aniyome
嫌	iya
嫗	ouna
嬉	uresi
嬢	zyou
嬬	yowa
嬲	nabu
嬶	kakaa
子	ko
子	ne
子	si
孔	ana
孔	kou
字	aza
字	azana
字	zi
存	son
孚	makoto
孜	tutomu
孝	kou
孝	taka
孝	takasi
孟	hazime
孟	takesi
孟	tutomu
季	ki
季	sue
孤	ko
学	gaku
学	manabu
学	satoru
孫	mago
孫	son
孫	sun
孳	tutomu
孵	kae
學	gaku
學	manabu
宅	taku
宇	hirosi
宇	sora
守	kami
守	kaoru
守	mamo
守	mamori
守	mamoru
守	mori
安	an
安	yasu
安	yasusi
宋	san
宋	son
宋	sou
完	hirosi
完	kan
完	tamotu
宏	gou
宏	hiro
宏	hiromi
宏	hiromu
宏	hirosi
宏	kou
宗	hazime
宗	motoi
宗	mune
宗	sou
宗	syuu
宗	takasi
官	kan
官	tukasa
宙	hirosi
宙	tyuu
定	sada
定	sadame
定	sadamu
定	tei
定	yasusi
定	zyou
宛	ate
宜	mube
宜	yosimi
宝	takara
実	makoto
実	mi
実	mino
実	minoru
実	sane
実	zitu
客	kyaku
宣	nori
宣	sen
室	muro
室	situ
宥	yuu
宮	miya
宰	osamu
宰	tukasa
害	gai
宴	en
宴	utage
宵	yoi
家	ie
家	ka
家	ke
家	uti
容	hirosi
容	iruru
容	you
容	yutaka
宿	syuku
宿	yado
宿	zyuku
寂	sabi
寂	seki
寄	yadoriki
寄	yo
寅	husa
寅	tora
密	hisoka
密	mitu
富	mituru
富	tomi
寒	kan
寒	sabu
寒	samu
寓	guu
寔	makoto
寛	hiro
寛	hirosi
寛	hirosu
寛	kan
寛	yutaka
寝	ne
察	sat
寡	sukuna
實	minoru
實	miti
寧	yasu
寧	yasusi
審	sin
寬	hirosi
寮	ryou
寳	takara
寵	tyou
寶	takara
寸	sun
寺	tera
対	tai
対	tui
寿	hisa
寿	hisasi
寿	hitosi
寿	kotobuki
寿	tamotu
寿	tosi
封	huu
専	sen
射	i
射	sya
将	hata
将	hikii
将	masaru
将	masasi
将	susumu
将	syou
将	tamotu
将	tasuku
將	hikii
將	masaru
尉	zyou
尊	makoto
尊	mikoto
尊	takasi
尊	takeru
尊	tatto
尊	touto
尋	hiro
尋	hirosi
導	sirube
小	ko
小	o
小	syou
少	sukuna
少	syou
尖	surudo
尖	toga
尚	atusi
尚	hisa
尚	hisasi
尚	nao
尚	syou
尚	takasi
尠	sukuna
尤	ryuu
尤	yuu
尨	muku
尨	mukuinu
尭	taka
尭	takasi
尸	sikabane
尹	in
尹	yun
尺	seki
尺	syaku
尻	siri
尼	ama
尼	ni
尾	bi
尾	o
尿	bari
尿	ibari
尿	nyou
尿	yubari
局	kyoku
局	tubone
屁	he
居	i
居	kyo
屈	kutu
届	todoke
